"Catégorie";"ID";"Label IEATC";"Correspondance MTC";"Patterns directs";"Expressions sémantiques reconnues"
"2 — Syndrome";"stagnation_qi_estomac";"Stagnation de Qi de l'Estomac";;"stagnation de qi de l estomac | stagnation qi estomac | qi de l estomac stagnant | estomac qi stagnant | blocage de l estomac | estomac bloque | estomac obstrue | qi bloque dans l estomac | estomac qui se bloque | stagnation dans l estomac | blocage estomac | estomac en stagnation";"blocage de l estomac | blocage d estomac | estomac bloque | estomac qui se bloque | estomac obstrue | estomac sature | estomac ne fait pas descendre | nausees par blocage | digestion bloquee dans l estomac | vomissements chroniques | stagnation de l estomac | stagnation a l estomac | stagnation du qi de l estomac | estomac en stagnation | l estomac stagne | stagnation de qi d estomac"
"2 — Syndrome";"stagnation_qi_rate";"Stagnation de Qi de la Rate";;"stagnation de qi de la rate | stagnation qi rate | qi de la rate stagnant | rate qi stagnant | blocage de la rate | rate bloquee | rate obstrue | rate qui se bloque | blocage rate | rate en stagnation";"blocage de la rate | blocage a la rate | rate bloquee | rate qui se bloque | rate obstrue | stagnation de la rate | stagnation a la rate | stagnation du qi de la rate | rate en stagnation | la rate stagne"
"2 — Syndrome";"stagnation_qi_foie";"Stagnation de Qi du Foie";"Gan Qi Yu Jie (肝气郁结)";"stagnation de qi du foie | qi du foie stagnant | foie qi stagnant | stagnation qi foie | foie bloque | qi foie stagne | bois qui se bloque";"le foie ne circule pas | le foie ne circule plus | foie ne circule pas | foie ne circule plus | le foie est bloque | foie est bloque | blocage du foie | blocage au foie | blocage de l energie du foie | energie du foie bloquee | energie du foie stagnante | energie du foie entravee | energie du foie ne passe pas | qi du foie qui stagne | qi du foie en stagnation | qi du foie qui se bloque | qi du foie est retenu | foie congestionne | foie est congestionne | foie entrave | foie est entrave | foie obstrue | foie se bloque | foie qui se bloque | foie ne laisse pas circuler | foie ne fait plus passer | foie ne fait pas passer le qi | foie ralenti | foie fige | foie coince | foie sature | bois bloque | bois est bloque | bois stagnant | bois en stagnation | stagnation du bois | blocage du bois | energie du bois bloquee | bois ralenti | bois qui ne circule pas | bois qui ne circule plus | foie vb bloque | foie vb en stagnation | vb bloque | vesicule bloquee | foie serre | foie contracte | tension au niveau du foie | crispation du foie | stagnation du foie | stagnation au foie | stagnation de l energie du foie | stagnation du qi du foie | stagnation de qi foie | foie en stagnation | le foie stagne | foie qui stagne | stagnation de la vesicule | stagnation de la vb | stagnation du bois vb | blocage de la vb | blocage de la vesicule | vesicule bloquee | vb stagnante | energie bloquee | colere | colere refoulee | colere contenue | frustration | frustration refoulee | irritabilite | impatience | enervement | agacement | ressentiment | le foie ne draine plus | le libre flux du foie est entrave"
"2 — Syndrome";"stagnation_sang_foie";"Stagnation de Sang au Foie";;"stagnation de sang au foie | stagnation sang foie | sang du foie stagnant | foie sang stagnant | stase sanguine au foie | sang bloque au foie | stagnation du sang au foie | stagnation de sang du foie | sang stagnant foie | xue stagnant foie";"sang du foie stagnant | sang stagnant au foie | stase de sang au foie | sang bloque au foie | sang du foie qui se bloque | caillots menstruels | regles avec caillots | regles sombres"
"2 — Syndrome";"tan_coeur";"Tan obstruant le Cœur (Phlegme-Feu)";;"tan obstrue le coeur | phlegme coeur | flegme coeur | tan coeur | phlegme feu coeur | tan feu monte au coeur | coeur obstrue par le tan | orifices du coeur obstrues | phlegme obscurcit le coeur | tan obscurcit les orifices";"glaires dans les poumons"
"2 — Syndrome";"tan_poumon";"Tan obstruant le Poumon";;"tan dans le poumon | phlegme dans le poumon | tan obstrue le poumon | poumon obstrue par le tan | phlegme poumon | tan poumon | toux avec expectorations | accumulation tan poumon | poumon envahi par le tan | tan dans le foyer superieur";
"2 — Syndrome";"tan_meridiens";"Tan obstruant les méridiens";;"tan dans les meridiens | phlegme dans les meridiens | tan obstrue les meridiens | accumulation de phlegme dans les meridiens | phlegme meridien | tan bloque meridien | obstruction par le tan | tan et stagnation de sang | phlegme stagnant dans les meridiens";"tan qui obstrue | glaires dans les poumons"
"2 — Syndrome";"tendons_foie_vb";"Tendons / Ligaments — domaine Foie/VB";;"tendons non nourris | tendons insuffisamment nourris | tendons fragiles | tendons vulnerables | ligaments non nourris | foie ne gouverne plus les tendons | tendons foie vb | tendons et ligaments insuffisants | foie vb tendons";"spasmes musculaires | tendons fragiles | ligaments fragiles | tendons non nourris | tendons qui lachent | genou qui craque | tendinopathie sur vide de foie | le foie ne gouverne plus les tendons"
"2 — Syndrome";"du_mai_insuffisant";"Tou Mo (Du Mai) insuffisant — Yang ne monte plus";;"du mai insuffisant | du mai fragilise | du mai vide | tou mo insuffisant | tou mo fragilise | tou mo vide | yang ne monte plus le long du du mai | yang du dos insuffisant | vaisseau gouverneur insuffisant | vg insuffisant";"tou mo insuffisant | tou mo fragilise"
"2 — Syndrome";"vent_froid_poumon";"Vent-Froid envahissant le Poumon";;"vent froid poumon | vent froid envahit le poumon | invasion vent froid | poumon envahi par le vent froid | agression vent froid | vent froid en surface | poumon attaque par le vent | invasion externe poumon | poumon sous vent froid";"fong attaque le poumon | fong envahit la surface"
"2 — Syndrome";"vb_sans_drainage";"Vésicule Biliaire sans drainage — reflux vers Foie";;"vb ne se draine pas | vesicule biliaire sans drainage | vb sature | refluence vers le foie | chaleur vb | vesicule en chaleur | vesicule biliaire qui ne se draine | vesicule biliaire ne se draine | vesicule biliaire non drainee | vb non drainee | vesicule non drainee";
"2 — Syndrome";"vide_jing_rein";"Vide de Jing / Tsing du Rein";;"vide de jing du rein | jing du rein vide | tsing du rein vide | essence renale insuffisante | epuisement du jing du rein | jing rein insuffisant";"tsing du rein vide | le rein ne stocke plus le jing | os fragiles | osteoporose | vieillissement premature | cheveux blancs precoces | dents qui se dechaussent"
"2 — Syndrome";"vide_qi_rate";"Vide de Qi de la Rate";"Pi Qi Xu (脾气虚)";"vide de qi de la rate | vide qi rate | rate qi vide | qi de la rate vide | qi de la rate insuffisant | insuffisance qi rate | rate en vide de qi | rate affaiblie | rate insuffisante | zang rate vide | rate non soutenue | rate carencee | rate fragilisee | digestion insuffisante par vide de rate";"rate s affaiblit | rate s epuise | rate ne produit plus | rate ne transforme plus | rate ne transporte plus | rate deficiente | rate manque de qi | qi de la rate qui faiblit | terre qui s affaiblit | terre deficiente | foyer moyen s affaiblit | digestion affaiblie | digestion deficiente | digestion ne fonctionne plus | rate fatiguee | rate qui se vide | rate en vide | rate epuisee | rate fragilisee par le foie | souci | soucis | inquietude | surmenage intellectuel | reflexion excessive | la rate ne transforme plus | la rate ne transporte plus | la rate ne monte plus | le qi de la rate ne monte plus | la rate ne retient plus le sang | la rate ne produit plus le sang | la terre ne transforme plus | prolapsus | ptose | descente d organe | les chairs ne tiennent plus | qi ne monte plus | teint jaune"
"2 — Syndrome";"vide_qi_vb";"Vide de Qi de la Vésicule Biliaire";;"vide de qi de la vesicule | vide qi vb | vesicule biliaire en vide de qi | qi de la vb vide | vb en vide | vesicule insuffisante | vesicule biliaire affaiblie | vb qi vide";
"2 — Syndrome";"vide_qi_coeur";"Vide de Qi du Cœur";;"vide de qi du coeur | vide qi coeur | coeur qi vide | qi du coeur vide | qi du coeur insuffisant | insuffisance qi coeur | coeur en vide de qi | coeur affaibli | qi cardiaque insuffisant | feu insuffisant coeur | coeur en vide";"qi du coeur bloque | le coeur ne gouverne plus le sang | le coeur ne propulse plus"
"2 — Syndrome";"vide_qi_foie";"Vide de Qi du Foie";;"vide de qi du foie | vide qi foie | foie qi vide | qi du foie vide | qi du foie insuffisant | insuffisance qi foie | foie en vide de qi | foie energetiquement insuffisant";"foie en vide de qi | foie energetiquement vide | foie manque de qi"
"2 — Syndrome";"vide_qi_poumon";"Vide de Qi du Poumon (Métal insuffisant)";"Fei Qi Xu (肺气虚)";"vide de qi du poumon | vide qi poumon | poumon qi vide | poumon en vide de qi | qi du poumon vide | qi du poumon insuffisant | insuffisance qi poumon | poumon affaibli | qi pulmonaire insuffisant | metal insuffisant | vide du metal | element metal vide | souffle insuffisant | souffle affaibli | fatigue profonde poumon";"qi du poumon bloque | le poumon ne diffuse plus | le poumon ne fait plus descendre | le poumon ne gouverne plus le qi | diffusion du poumon insuffisante | le metal ne descend plus"
"2 — Syndrome";"vide_qi_rein";"Vide de Qi du Rein";;"vide de qi du rein | vide qi rein | rein qi vide | qi du rein vide | qi du rein insuffisant | insuffisance qi rein | rein en vide de qi | qi renal insuffisant | rein qui ne retient plus";"le rein ne retient plus"
"2 — Syndrome";"vide_qi_rate_coeur";"Vide de Qi Rate-Cœur (Feu ne nourrit plus Terre)";;"vide qi rate coeur | vide de qi rate et coeur | rate coeur en vide de qi | coeur rate insuffisants | double vide qi rate coeur";
"2 — Syndrome";"vide_sang_rate";"Vide de Sang de la Rate";;"vide de sang de la rate | sang de la rate vide | rate sang vide | vide sang rate | insuffisance sang rate | sang insuffisant rate | rate ne produit plus le sang | rate ne genere plus le sang";"la rate ne produit plus le sang"
"2 — Syndrome";"vide_sang_coeur";"Vide de Sang du Cœur";"Xin Xue Xu (心血虚)";"vide de sang du coeur | sang du coeur vide | coeur sang vide | sang coeur insuffisant | coeur non nourri par le sang | sang insuffisant pour nourrir le coeur | xue du coeur vide | vide sang coeur";"le coeur ne gouverne plus le sang"
"2 — Syndrome";"vide_sang_foie";"Vide de Sang du Foie";"Gan Xue Xu (肝血虚)";"vide de sang du foie | sang du foie vide | foie sang vide | foie non nourri | foie mal nourri | sang foie insuffisant | vide sang foie | vide du foie | vide du zang foie | foie en vide | zang foie vide | foie affaibli | tsang foie vide";"foie ne nourrit plus | foie manque de sang | foie n est plus nourri | sang du foie insuffisant | sang du foie appauvri | foie mal alimente | foie manque de substance | sang insuffisant pour le foie | foie non alimente | bois non nourri en sang | crampes nocturnes | crampes la nuit | jambes crampe nuit | crampes aux jambes la nuit | ongles cassants | ongles fragiles | ongles stries | yeux secs et fatigues | vision trouble le soir | regles pales | regles peu abondantes | foie mal nourri par le rein | tendons non nourris | tendinopathie sur vide de foie | regles sombres | foie en vide de qi | le foie ne gouverne plus les tendons | le foie ne stocke plus le sang"
"2 — Syndrome";"vide_yang_rate";"Vide de Yang de la Rate";;"vide de yang de la rate | vide yang rate | rate yang vide | yang de la rate vide | yang rate insuffisant | insuffisance yang rate | rate en vide de yang | rate froide | yang splenique insuffisant | vide yang splenique";
"2 — Syndrome";"vide_yang_coeur";"Vide de Yang du Cœur";;"vide de yang du coeur | yang du coeur vide | coeur yang vide | vide yang coeur | insuffisance yang coeur | yang cardiaque insuffisant | coeur froid | froid thoracique | yang du coeur insuffisant";
"2 — Syndrome";"vide_yang_foie";"Vide de Yang du Foie";;"vide de yang du foie | vide yang foie | foie yang vide | yang du foie vide | yang du foie insuffisant | insuffisance yang foie | foie en vide de yang | yang du bois insuffisant | bois en vide de yang";"yang apparent de vb | yang apparent vb | yang apparent du foie"
"2 — Syndrome";"vide_yang_poumon";"Vide de Yang du Poumon";;"vide de yang du poumon | vide yang poumon | poumon yang vide | yang du poumon vide | yang du poumon insuffisant | insuffisance yang poumon | poumon en vide de yang | yang pulmonaire insuffisant";
"2 — Syndrome";"vide_yang_rein";"Vide de Yang du Rein";"Shen Yang Xu (肾阳虚)";"vide de yang du rein | vide yang rein | yang du rein vide | yang du rein insuffisant | rein yang vide | yang rein insuffisant | vide yang rein | rein en vide de yang";"yang du rein s epuise | yang du rein faiblit | yang du rein ne suffit plus | yang du rein diminue | rein manque de yang | rein yang qui faiblit | yang renal insuffisant | yang renal en baisse | yang du rein qui se vide | rein ne rechauffe plus | rein n a plus assez de yang | yang renal epuise | carence yang du rein | rein froid | froid au rein | yang du rein ne rechauffe plus | yang du rein trop faible | yang renal trop faible | froid lombaire | lombes froides | dos froid dans le bas | urines claires et abondantes | urines claires | manque de volonte | le rein ne gouverne plus l eau | le rein ne rechauffe plus la rate | le feu du ming men ne rechauffe plus"
"2 — Syndrome";"vide_yin_estomac";"Vide de Yin de l'Estomac";"Wei Yin Xu (胃阴虚)";"vide de yin de l estomac | yin de l estomac vide | estomac yin vide | vide yin estomac | insuffisance yin estomac | estomac en vide de yin | yin gastrique insuffisant | estomac sec";
"2 — Syndrome";"vide_yin_coeur";"Vide de Yin du Cœur";"Xin Yin Xu (心阴虚)";"vide de yin du coeur | yin du coeur vide | coeur yin vide | vide yin coeur | insuffisance yin coeur | coeur ne peut plus ancrer le shen | yin cardiaque vide | yin coeur insuffisant | vide de yin cardiaque";"coeur qui n ancre plus le shen | shen non ancre | le coeur n abrite plus le shen"
"2 — Syndrome";"vide_yin_foie";"Vide de Yin du Foie";;"vide de yin du foie | yin du foie vide | foie yin vide | vide yin foie | insuffisance yin foie | tendons non nourris | tendons insuffisamment nourris | foie ne nourrit plus les tendons | foie vb ne gouverne plus";"yeux secs et fatigues | spasmes musculaires | tendons non nourris | le foie ne gouverne plus les tendons"
"2 — Syndrome";"vide_yin_poumon";"Vide de Yin du Poumon";"Fei Yin Xu (肺阴虚)";"vide de yin du poumon | yin du poumon vide | poumon yin vide | vide yin poumon | insuffisance yin poumon | yin pulmonaire vide | poumon sec | muqueuses seches poumon | secheresse du poumon | yin du metal vide | metal en vide de yin | poumon ne peut plus humidifier | muqueuses non humidifiees";
"2 — Syndrome";"vide_yin_rein";"Vide de Yin du Rein";"Shen Yin Xu (肾阴虚)";"vide de yin du rein | vide yin rein | yin du rein vide | yin du rein insuffisant | rein yin vide | rein en vide de yin | insuffisance yin du rein | yin renal insuffisant | eau insuffisante | vide profond de l eau | vide de yin rein";"yin du rein s epuise | yin du rein faiblit | yin du rein diminue | rein manque de yin | yin renal insuffisant | yin renal epuise | rein n a plus assez de yin | essence du rein insuffisante | rein yin qui se vide | eau du rein insuffisante | eau renale insuffisante | carence yin du rein | yin renal qui diminue | yin renal qui se tarit | substance yin du rein insuffisante | eau insuffisante pour ancrer | chaleur le soir | chaleur en fin de journee | chaleur vesperal | sueurs nocturnes | bourdonnements vide | oreilles bourdonnement par vide | vertiges par manque de yin | coeur et rein ne communiquent plus | l eau ne monte plus vers le feu | yang apparent du rein | faux yang du rein | osteoporose"
"2 — Syndrome";"yang_apparent_vb";"Yang apparent de VB (Faux Yang — Vide de Yin sous-jacent)";;"yang apparent de vb | yang apparent vb | yang apparent de la vesicule | faux yang vb | yang flottant vb | yang non ancre vb | yang de vb qui monte | yang vb montant | yang apparent vesicule biliaire";"yang apparent de vb | yang apparent vb | faux yang de vb | faux yang vb | yang flottant de vb | yang non ancre vb | yang de vb qui monte | yang vb montant"
"2 — Syndrome";"yang_apparent_foie";"Yang apparent du Foie (Faux Yang — Vide de Yin sous-jacent)";;"yang apparent du foie | yang apparent foie | faux yang foie | yang flottant foie | yang non ancre foie | yang du foie non ancre | yang apparent de foie";"yang apparent du foie | yang apparent foie | faux yang du foie | yang flottant du foie"
"2 — Syndrome";"yang_foie_montant";"Yang du Foie montant (Gan Yang Shang Kang)";"Gan Yang Shang Kang (肝阳上亢)";"yang du foie montant | yang foie montant | yang du foie en exces | prosperite du yang du foie | foie yang montant | yang montant du foie | yang monte | yang en usurpateur | bois non contenu | feu du foie montant | foie en plenitude yang | yang du foie en plenitude | yang du foie en exces reel";"yang qui monte | yang monte | yang ascendant | yang non ancre | yang flottant | yang qui flotte | yang ne descend pas | yang s eleve | yang remonte | yang monte vers le haut | yang en rebellion | yang monte en usurpateur | yang du foie monte | yang foie monte | yang du foie non ancre | yang du foie qui monte | yang du foie flotte | yang du foie s eleve | yang du foie trop fort | yang du foie en exces | yang du foie en plenitude | yang du foie deborde | yang du foie envahit | yang du foie non controle | yang du foie qui s eleve | yang non ancre par le yin | prosperite du yang | yang du bois monte | yang du bois en exces | yang sans ancrage yin | yang libre sans controle | cephalees aux tempes | migraine temporale | douleur aux tempes | rouge au visage colere | visage rouge qui monte | pouls corde et rapide | chaleur qui monte par vide | pouls corde | pouls en corde | pouls tendu | pouls en corde d arc | yang apparent de vb | yang apparent vb | yang de vb qui monte | yang vb montant | yang apparent du foie | qi monte en rebellion | irritabilite | impatience | enervement | rage | teint rouge"
"2 — Syndrome";"yi_perturbe";"Yi perturbé (intellect — domaine Rate)";;"yi perturbe | yi insuffisant | esprit de la rate perturbe | intellectualite perturbee | rate yi | rumination pathologique | pensees circulaires | idees fixes | yi fragilise";"pensees qui s emballent | ruminations | pensees circulaires | idees fixes | obsessions | souci | soucis | inquietude | surmenage intellectuel | pensee excessive | reflexion excessive"
"2 — Syndrome";"zhi_perturbe";"Zhi perturbé (volonté — domaine Rein)";;"zhi perturbe | zhi insuffisant | esprit du rein perturbe | volonte affaiblie | rein zhi | zhi vide | manque de volonte profond | peur chronique envahissante | peur pathologique rein";"peur profonde | peur du vide | manque de volonte | peur | peur chronique | terreur | frayeur | angoisse profonde | manque de volonte"
"3 — Organe / Zang-Fu";"coeur";"Cœur";"Xin (心)";"coeur | zang coeur | tsang coeur | xin coeur";"coeur ne soutient plus la rate | glaires dans les poumons | esprit perturbe | psychisme perturbe | coeur qui n ancre plus le shen | shen non ancre | qi du coeur bloque | tsang coeur | les cinq tsang | joie excessive | manie | le coeur ne gouverne plus le sang | le coeur n abrite plus le shen | le coeur ne propulse plus | coeur et rein ne communiquent plus | le feu et l eau ne communiquent plus | axe coeur rein brise | axe eau feu brise | l eau ne monte plus vers le feu | le feu ne descend plus vers l eau"
"3 — Organe / Zang-Fu";"estomac";"Estomac";;"estomac | fu estomac | wei estomac";"blocage de l estomac | blocage d estomac | estomac bloque | estomac qui se bloque | estomac obstrue | estomac sature | estomac ne fait pas descendre | estomac ne descend plus | qi de l estomac ne descend | qi de l estomac rebelle | estomac rebelle | qi d estomac rebelle | reflux gastrique | nausees par blocage | digestion bloquee dans l estomac | qi ne descend pas | descente perturbee | qi monte en rebellion | qi rebelle | hoquet chronique | vomissements chroniques | stagnation de l estomac | stagnation a l estomac | stagnation du qi de l estomac | estomac en stagnation | l estomac stagne | stagnation de qi d estomac | fu estomac | les six fu | faire descendre le qi | le qi doit redescendre"
"3 — Organe / Zang-Fu";"foie";"Foie";"Gan (肝)";"foie | zang foie | tsang foie | gan foie | hepatique";"le foie ne circule pas | le foie ne circule plus | foie ne circule pas | foie ne circule plus | le foie est bloque | foie est bloque | blocage du foie | blocage au foie | blocage de l energie du foie | energie du foie bloquee | energie du foie stagnante | energie du foie entravee | energie du foie ne passe pas | qi du foie qui stagne | qi du foie en stagnation | qi du foie qui se bloque | qi du foie est retenu | foie congestionne | foie est congestionne | foie entrave | foie est entrave | foie obstrue | foie se bloque | foie qui se bloque | foie ne laisse pas circuler | foie ne fait plus passer | foie ne fait pas passer le qi | foie ralenti | foie fige | foie coince | foie sature | bois bloque | bois est bloque | bois stagnant | bois en stagnation | stagnation du bois | blocage du bois | energie du bois bloquee | bois ralenti | bois qui ne circule pas | bois qui ne circule plus | foie vb bloque | foie vb en stagnation | vb bloque | vesicule bloquee | foie serre | foie contracte | tension au niveau du foie | crispation du foie | yang qui monte | yang monte | yang ascendant | yang non ancre | yang flottant | yang qui flotte | yang ne descend pas | yang s eleve | yang remonte | yang monte vers le haut | yang en rebellion | yang monte en usurpateur | yang du foie monte | yang foie monte | yang du foie non ancre | yang du foie qui monte | yang du foie flotte | yang du foie s eleve | yang du foie trop fort | yang du foie en exces | yang du foie en plenitude | yang du foie deborde | yang du foie envahit | yang du foie non controle | yang du foie qui s eleve | yang non ancre par le yin | prosperite du yang | yang du bois monte | yang du bois en exces | yang sans ancrage yin | yang libre sans controle | cephalees aux tempes | migraine temporale | douleur aux tempes | rouge au visage colere | visage rouge qui monte | pouls corde et rapide | foie ne nourrit plus | foie manque de sang | foie n est plus nourri | sang du foie insuffisant | sang du foie appauvri | foie mal alimente | foie manque de substance | sang insuffisant pour le foie | foie non alimente | bois non nourri en sang | crampes nocturnes | crampes la nuit | jambes crampe nuit | crampes aux jambes la nuit | ongles cassants | ongles fragiles | ongles stries | yeux secs et fatigues | vision trouble le soir | regles pales | regles peu abondantes | rein ne soutient plus le foie | rein n alimente plus le foie | rein ne peut plus nourrir le foie | foie mal nourri par le rein | rein n arrive pas a nourrir le foie | rein ne peut plus soutenir le foie | foie agresse la rate | foie envahit la rate | stress affecte la digestion | colere affecte la digestion | emotions perturbent la rate | foie perturbe la rate | foie attaque la rate | tension emotionnelle perturbe la digestion | stress perturbe la digestion | colere affecte l estomac | fong | fongs | fong interne | vertiges par manque de yin | tremblements | tremblements des membres | spasmes musculaires | pouls corde | pouls en corde | pouls tendu | pouls en corde d arc | tendons fragiles | ligaments fragiles | tendons non nourris | tendons qui lachent | genou qui craque | tendinopathie sur vide de foie | sang du foie stagnant | sang stagnant au foie | stase de sang au foie | sang bloque au foie | sang du foie qui se bloque | caillots menstruels | regles avec caillots | regles sombres | yang apparent de vb | yang apparent vb | yang de vb qui monte | yang vb montant | yang apparent du foie | yang apparent foie | faux yang du foie | yang flottant du foie | foie en vide de qi | foie energetiquement vide | foie manque de qi | qi monte en rebellion | stagnation du foie | stagnation au foie | stagnation de l energie du foie | stagnation du qi du foie | stagnation de qi foie | foie en stagnation | le foie stagne | foie qui stagne | stagnation de la vesicule | stagnation de la vb | stagnation du bois vb | blocage de la vb | blocage de la vesicule | vesicule bloquee | vb stagnante | energie bloquee | tsang foie | les cinq tsang | colere | colere refoulee | colere contenue | frustration | frustration refoulee | irritabilite | impatience | enervement | rage | agacement | ressentiment | le foie ne gouverne plus les tendons | le foie ne stocke plus le sang | le foie ne draine plus | le libre flux du foie est entrave | ramener le yang vers le bas | teint rouge"
"3 — Organe / Zang-Fu";"gros_intestin";"Gros Intestin";"Da Chang (大肠)";"gros intestin | fu gros intestin | da chang";"fu gros intestin | les six fu"
"3 — Organe / Zang-Fu";"intestin_grele";"Intestin Grêle";"Xiao Chang (小肠)";"intestin grele | fu intestin grele | xiao chang";"fu intestin grele | les six fu"
"3 — Organe / Zang-Fu";"maitre_coeur";"Maître du Cœur (MC)";"Xin Bao (心包)";"maitre du coeur | maitre coeur | pericarde | xin bao | enveloppe du coeur";
"3 — Organe / Zang-Fu";"poumon";"Poumon";"Fei (肺)";"poumon | poumons | zang poumon | tsang poumon | fei poumon";"rate ne soutient plus le poumon | rate n alimente plus le poumon | poumon ne soutient plus le rein | poumon bloque | poumon en stagnation | qi du poumon bloque | tsang poumon | les cinq tsang | tristesse | le poumon ne diffuse plus | le poumon ne fait plus descendre | le poumon ne gouverne plus le qi | diffusion du poumon insuffisante | le metal ne descend plus | fong attaque le poumon"
"3 — Organe / Zang-Fu";"rate";"Rate";"Pi (脾)";"rate | zang rate | tsang rate | pi rate";"rate s affaiblit | rate s epuise | rate ne produit plus | rate ne transforme plus | rate ne transporte plus | rate deficiente | rate manque de qi | qi de la rate qui faiblit | terre qui s affaiblit | terre deficiente | foyer moyen s affaiblit | digestion affaiblie | digestion deficiente | digestion ne fonctionne plus | rate fatiguee | rate qui se vide | rate en vide | rate epuisee | foyer moyen trop charge | rate surchargee de yin | rate trop pleine | rate pleine | rate ne soutient plus le poumon | rate n alimente plus le poumon | coeur ne soutient plus la rate | foie agresse la rate | foie envahit la rate | stress affecte la digestion | colere affecte la digestion | emotions perturbent la rate | foie perturbe la rate | foie attaque la rate | tension emotionnelle perturbe la digestion | rate fragilisee par le foie | stress perturbe la digestion | colere affecte l estomac | blocage de la rate | blocage a la rate | rate bloquee | rate qui se bloque | rate obstrue | stagnation de la rate | stagnation a la rate | stagnation du qi de la rate | rate en stagnation | la rate stagne | tsang rate | les cinq tsang | souci | soucis | inquietude | surmenage intellectuel | reflexion excessive | la rate ne transforme plus | la rate ne transporte plus | la rate ne monte plus | le qi de la rate ne monte plus | la rate ne retient plus le sang | la rate ne produit plus le sang | la terre ne transforme plus | le rein ne rechauffe plus la rate | prolapsus | ptose | descente d organe | les chairs ne tiennent plus | qi ne monte plus | teint jaune"
"3 — Organe / Zang-Fu";"rein";"Rein";"Shen (肾)";"rein | reins | zang rein | tsang rein | shen rein";"yang du rein s epuise | yang du rein faiblit | yang du rein ne suffit plus | yang du rein diminue | rein manque de yang | rein yang qui faiblit | yang renal insuffisant | yang renal en baisse | yang du rein qui se vide | rein ne rechauffe plus | rein n a plus assez de yang | yang renal epuise | carence yang du rein | rein froid | froid au rein | yang du rein ne rechauffe plus | yang du rein trop faible | yang renal trop faible | froid lombaire | lombes froides | dos froid dans le bas | urines claires et abondantes | urines claires | yin du rein s epuise | yin du rein faiblit | yin du rein diminue | rein manque de yin | yin renal insuffisant | yin renal epuise | rein n a plus assez de yin | essence du rein insuffisante | rein yin qui se vide | eau du rein insuffisante | eau renale insuffisante | carence yin du rein | yin renal qui diminue | yin renal qui se tarit | substance yin du rein insuffisante | eau insuffisante pour ancrer | chaleur le soir | chaleur en fin de journee | chaleur vesperal | sueurs nocturnes | bourdonnements vide | oreilles bourdonnement par vide | rein ne soutient plus le foie | rein n alimente plus le foie | rein ne peut plus nourrir le foie | foie mal nourri par le rein | rein n arrive pas a nourrir le foie | rein ne peut plus soutenir le foie | poumon ne soutient plus le rein | vertiges par manque de yin | peur profonde | tsang rein | les cinq tsang | tsing du rein | tsing du rein vide | peur | peur chronique | terreur | frayeur | angoisse profonde | manque de volonte | le rein ne gouverne plus l eau | le rein ne stocke plus le jing | le rein ne retient plus | le rein ne rechauffe plus la rate | le feu du ming men ne rechauffe plus | coeur et rein ne communiquent plus | le feu et l eau ne communiquent plus | axe coeur rein brise | axe eau feu brise | l eau ne monte plus vers le feu | le feu ne descend plus vers l eau | yang apparent du rein | faux yang du rein | os fragiles | osteoporose | vieillissement premature | cheveux blancs precoces | dents qui se dechaussent"
"3 — Organe / Zang-Fu";"triple_rec";"Triple Réchauffeur (TR)";"San Jiao (三焦)";"triple rechauffeur | san jiao | trois foyers organe";"les six fu"
"3 — Organe / Zang-Fu";"vb";"Vésicule Biliaire";"Dan (胆)";"vesicule biliaire | vesicule | vb | fu vb | dan vb";"spasmes musculaires | tendons fragiles | ligaments fragiles | tendons non nourris | tendons qui lachent | genou qui craque | tendinopathie sur vide de foie | yang apparent de vb | yang apparent vb | faux yang de vb | faux yang vb | yang flottant de vb | yang non ancre vb | yang de vb qui monte | yang vb montant | fu vesicule biliaire | les six fu | le foie ne gouverne plus les tendons"
"3 — Organe / Zang-Fu";"vessie";"Vessie";"Pang Guang (膀胱)";"vessie | meridien vessie | meridien v | pang guang";"fu vessie | les six fu"
"3 — Localisation / Axe";"shao_yang";"Chao Yang (TR + VB)";"Shao Yang (少阳)";"chao yang | shao yang";"atteinte du chao yang | syndrome chao yang | demi surface demi profondeur | charniere"
"3 — Localisation / Axe";"shao_yin";"Chao Yin (Rein + Cœur)";"Shao Yin (少阴)";"chao yin | shao yin";"atteinte du chao yin | syndrome chao yin"
"3 — Localisation / Axe";"foyer_inferieur";"Foyer Inférieur";"Xia Jiao (下焦)";"foyer inferieur";
"3 — Localisation / Axe";"foyer_moyen";"Foyer Moyen";"Zhong Jiao (中焦)";"foyer moyen";"foyer moyen trop charge | foyer moyen encombre | foyer moyen bloque | foyer moyen sature de yin | foyer moyen plein | rate surchargee de yin | rate trop pleine | rate pleine | foyer moyen obstrue"
"3 — Localisation / Axe";"foyer_superieur";"Foyer Supérieur";"Shang Jiao (上焦)";"foyer superieur";
"3 — Localisation / Axe";"tai_yang";"Taé Yang (Vessie + IG)";"Tai Yang (太阳)";"tae yang | tai yang";"atteinte du tae yang | syndrome tae yang"
"3 — Localisation / Axe";"tai_yin";"Taé Yin (Rate + Poumon)";"Tai Yin (太阴)";"tae yin | tai yin";"atteinte du tae yin | syndrome tae yin"
"3 — Localisation / Axe";"jue_yin";"Tsiué Yin (Foie + MC)";"Jue Yin (厥阴)";"tsieu yin | tsiue yin | jue yin | tjue yin | jue-yin";"atteinte du tsieu yin | atteinte du tsiue yin | syndrome tsieu yin | syndrome tsiue yin"
