"Catégorie";"ID";"Label IEATC";"Patterns (séparés par |)";"Description"
"Stratégie thérapeutique";"relancer_cycle_sheng_feu_terre";"Relancer le cycle Cheng Feu → Terre";"relancer cycle cheng feu terre | relancer cycle sheng feu terre | relancer feu terre | nourrir le feu pour la terre | soutenir le coeur pour la rate | relancer feu vers terre | debloquer la terre par le feu | faire circuler feu terre | coeur nourrit rate";"Le Cœur (Feu) nourrit la Rate (Terre) — Cycle Cheng nourricier."
"Stratégie thérapeutique";"relancer_cycle_sheng_metal_eau";"Relancer le cycle Cheng Métal → Eau";"relancer cycle cheng metal eau | relancer cycle sheng metal eau | relancer metal eau | soutenir poumon pour rein | nourrir le poumon pour le rein | relancer cheng metal vers eau | relancer sheng metal vers eau | consolider le metal pour l eau | debloquer l eau par le metal | faire circuler metal eau | poumon nourrit rein";"Yang Ming = Estomac (E) + Gros Intestin (GI). Niveau Yang du milieu — chaleur, plénitude, axe digestif. Grand Yang Ming = technique spécifique."
"Stratégie thérapeutique";"sudation";"Méthode sudation (Han Fa)";"sudation | han fa | methode sudation | provoquer la sudation | ouvrir les pores | expulser par la sudation | faire transpirer | traitement par sudation";"Han Fa = méthode de transpiration — ouvre les pores, expulse les facteurs pathogènes externes."
"Stratégie thérapeutique";"tonifier_foyer_inferieur";"Tonifier le Foyer Inférieur";"tonifier le foyer inferieur | soutenir le foyer inferieur | tonification foyer inferieur | renforcer le foyer inferieur | nourrir le foyer inferieur | faire circuler le foyer inferieur | debloquer le foyer inferieur | nourrir le rechauffeur inferieur";
"Stratégie thérapeutique";"tonifier_foyer_superieur";"Tonifier / Soutenir le Foyer Supérieur";"tonifier le foyer superieur | soutenir le foyer superieur | nourrir le foyer superieur | renforcer le foyer superieur | faire circuler le foyer superieur | debloquer le foyer superieur | tonification foyer superieur | nourrir le rechauffeur superieur";
"Stratégie thérapeutique";"tonifier_iong";"Tonifier l\";"tonifier l iong | tonifier l iong generale | tonification iong | nourrir l iong | soutenir l iong";"Traitement général en cas de paradoxe Oé/Iong."
"Stratégie thérapeutique";"tonifier_yang_general";"Tonifier le Yang général";"tonifier le yang general | tonification yang general | soutenir le yang general | yang general tonifie";
"Stratégie thérapeutique";"tonifier_yang_rein";"Tonifier le Yang du Rein / Ming Men";"tonifier le yang du rein | tonifier yang rein | tonifier ming men | ranimer le feu du ming men | ranimer ming men | soutenir le yang du rein | augmenter le feu du ming men | travailler sur rein yang | nourrir le rein yang | technique rein yang | rein yang | yang du rein";"Avec moxas en priorité (VG4, V23)."
"Stratégie thérapeutique";"tonifier_yin_general";"Tonifier le Yin général";"tonifier le yin general | tonification yin general | nourrir le yin general | soutenir le yin general | yin general tonifie | nourrir le grand yin";
"Stratégie thérapeutique";"traitement_local";"Traitement local (dernier temps)";"traitement local | traitement local en dernier | local en dernier | traiter localement | traitement secondaire local";"Le traitement local vient TOUJOURS en dernier, après avoir équilibré le général."
"Stratégie thérapeutique";"traiter_chao_yang";"Traiter le niveau Chao Yang (VB / TR)";"chao yang | shao yang | niveau chao yang | niveau shao yang | traiter le chao yang | traiter le shao yang | soutenir le chao yang | soutenir le shao yang | debloquer le chao yang | debloquer le shao yang | liberer le chao yang | liberer le shao yang | travailler sur le chao yang | travailler sur le shao yang | harmoniser le chao yang | harmoniser le shao yang | tonifier le chao yang | tonifier le shao yang";"Niveau Chao Yang = Vésicule Biliaire (VB) + Triple Réchauffeur (TR). Niveau charnière — demi-superficie, demi-profondeur."
"Stratégie thérapeutique";"traiter_chao_yin";"Traiter le niveau Chao Yin (C / R)";"chao yin | shao yin | niveau chao yin | niveau shao yin | traiter le chao yin | traiter le shao yin | soutenir le chao yin | soutenir le shao yin | tonifier le chao yin | tonifier le shao yin | debloquer le chao yin | debloquer le shao yin | travailler sur le chao yin | travailler sur le shao yin | nourrir le chao yin | nourrir le shao yin | axe coeur rein chao yin | axe coeur rein shao yin";"Niveau Chao Yin = Cœur (C) + Rein (R). Niveau profond Yin — Feu et Eau, axe Cœur-Rein."
"Stratégie thérapeutique";"traiter_jue_yin";"Traiter le niveau Tsiué Yin (F / MC)";"tsieu yin | tsiue yin | niveau tsieu yin | niveau tsiue yin | jue yin | tjue yin | niveau jue yin | niveau tjue yin | traiter le tsieu yin | traiter le tsiue yin | traiter le jue yin | traiter le tjue yin | soutenir le tsieu yin | soutenir le tsiue yin | soutenir le jue yin | soutenir le tjue yin | tonifier le tsieu yin | tonifier le tsiue yin | tonifier le jue yin | tonifier le tjue yin | debloquer le tsieu yin | debloquer le tsiue yin | debloquer le jue yin | debloquer le tjue yin | nourrir le tsieu yin | nourrir le tsiue yin | nourrir le jue yin | nourrir le tjue yin | travailler sur le tsieu yin | travailler sur le tsiue yin | travailler sur le jue yin | travailler sur le tjue yin | axe foie maitre coeur tsieu yin";"Niveau Tsiué Yin = Foie (F) + Maître Cœur (MC). Niveau le plus profond Yin — terminal, récapitule Yin et Yang."
"Stratégie thérapeutique";"traiter_ko_pathologique";"Traiter un cycle Ko pathologique (attaque)";"ko pathologique | cycle ko pathologique | attaque par le cycle ko | disperser l element agresseur | soutenir l element attaque | bois attaque terre | eau attaque feu | feu attaque metal | metal attaque bois | terre attaque eau | traiter le cycle ko pathologique";"Ko physiologique = contrôle. Ko pathologique = attaque d\"
"Stratégie thérapeutique";"traiter_tae_yin";"Traiter le niveau Taé Yin (P / Rt)";"tae yin | tai yin | niveau tae yin | niveau tai yin | traiter le tae yin | traiter le tai yin | soutenir le tae yin | soutenir le tai yin | tonifier le tae yin | tonifier le tai yin | debloquer le tae yin | debloquer le tai yin | travailler sur le tae yin | travailler sur le tai yin | nourrir le tae yin | nourrir le tai yin";"Niveau Taé Yin = Poumon (P) + Rate (Rt). Premier niveau Yin — surface Yin, Qi et liquides."
"Stratégie thérapeutique";"traiter_yang_apparent";"Traiter le Yang apparent / Feu apparent (vide de Yin)";"yang apparent | feu apparent | chaleur apparente | echauffement par vide de yin | chaleur par vide de yin | feu par vide de yin | yang apparent par vide de yin | traiter le yang apparent | traiter le feu apparent | nourrir le yin pour calmer le feu | nourrir le yin pour eteindre le feu | clarifier le feu du vide | clarifier feu vide | traiter le feu du vide | nourrir le yin pour clarifier";"IEATC : un Yang apparent ou Feu apparent est dû à un vide de Yin — traiter = nourrir le Yin, pas disperser la chaleur."
"Stratégie thérapeutique";"traiter_yin_apparent";"Traiter le Yin apparent / Froid apparent (vide de Yang)";"yin apparent | froid apparent | froid par vide de yang | yin apparent par vide de yang | froid apparent par vide de yang | traiter le yin apparent | traiter le froid apparent | tonifier le yang pour chasser le froid | rechauffer le yang";"IEATC : un Yin apparent ou Froid apparent est dû à un vide de Yang — traiter = tonifier le Yang."
"Pathologie / Motif";"acne";"Acné / Imperfections cutanées";"acne | boutons | imperfection cutanee | peau grasse | couperose | rougeurs cutanees | peau impure";
"Pathologie / Motif";"acouphenes";"Acouphènes / Bourdonnements d\";"acouphene | acouphenes | bourdonnement | bourdonnements | bourdonnement d oreille | bourdonnements d oreille | tinnitus | sifflement oreille | sifflements oreille";
"Pathologie / Motif";"anxiete";"Anxiété / Stress";"anxiete | stress | angoisse | angoisses | nervosité | nervosité excessive | agitation | irritabilite | burn out | burnout | epuisement professionnel";
"Pathologie / Motif";"arthralgie";"Arthralgie / Arthrite / Goutte";"arthralgie | arthralgies | arthrite | arthrites | douleur articulaire | douleurs articulaires | polyarthrite | rhumatisme | rhumatismes | goutte | crise de goutte | hyperuricemie";
"Pathologie / Motif";"asthme";"Asthme / Dyspnée";"asthme | dyspnee | essoufflement | difficulte respiratoire | difficultes respiratoires | oppression thoracique | souffle court | gene respiratoire";
"Pathologie / Motif";"ballonnements";"Ballonnements / Distension abdominale";"ballonnement | ballonnements | distension abdominale | gaz intestinaux | flatulences | meteorisme | ventre gonflé | ventre gonfle | abdomen distendu";
"Pathologie / Motif";"bouffees_chaleur";"Bouffées de chaleur";"bouffee de chaleur | bouffees de chaleur | flush | montee de chaleur | montees de chaleur | chaleur montante soudaine | chaleur soudaine";
"Pathologie / Motif";"cervicalgie";"Cervicalgie / Douleur cervicale";"cervicalgie | cervicalgies | douleur cervicale | douleurs cervicales | douleur au cou | douleur dans le cou | raideur cervicale | raideur du cou | torticolis | nuque douloureuse | nuque raide";
"Pathologie / Motif";"constipation";"Constipation";"constipation | constipations | selles dures | transit lent | difficulte a aller a la selle";
"Pathologie / Motif";"depression";"Dépression / Mélancolie";"depression | depressions | deprime | abattement | melancolie | tristesse persistante | humeur sombre";
"Pathologie / Motif";"enuresie";"Énurésie / Incontinence nocturne";"enuresie | pipi au lit | incontinence nocturne | mictions nocturnes involontaires | lit mouille nuit";
"Pathologie / Motif";"epaule_douloureuse";"Épaule douloureuse";"epaule douloureuse | douleur epaule | douleur a l epaule | douleur de l epaule | blocage epaule | epaule bloquee | epaule droite | epaule gauche";
"Pathologie / Motif";"fatigue_chronique";"Syndrome de fatigue chronique (SFC)";"syndrome de fatigue chronique | sfc | encephalomyelite myalgique | em sfc | epuisement chronique | fatigue extreme persistante | fatigue invalidante | fibromyalgie fatigue";
"Pathologie / Motif";"gonalgie";"Gonalgie / Douleur de genou";"gonalgie | gonalgies | douleur genou | douleur au genou | douleurs genou | douleur du genou | genou douloureux | genou droit | genou gauche | chondropathie | menisque";
"Pathologie / Motif";"hyperactivite";"Hyperactivité / TDAH";"hyperactivite | tdah | deficit d attention | trouble attention | difficulte de concentration | hyperactivite avec deficit attention | agitation enfant";
"Pathologie / Motif";"hypertension";"Hypertension artérielle (HTA)";"hypertension | hta | tension elevee | tension arterielle elevee | pression arterielle haute | tension trop haute";
"Pathologie / Motif";"infections_repetees";"Infections répétées / Immunité faible";"infection repetee | infections repetees | rhumes frequents | fragilite immunitaire | immunite faible | rhumes a repetition | otite repetee | otites repetees | bronchite repetee | infections frequentes | terrain fragile infections";
"Pathologie / Motif";"infertilite";"Infertilité / Difficultés à concevoir";"infertilite | infertilites | sterilite | difficulte a concevoir | difficulte a tomber enceinte | pma | fiv | aide medicale a la procreation | hypofertilite";
"Pathologie / Motif";"irregularite_menstruelle";"Irrégularité menstruelle / Aménorrhée";"amenorrhee | absence de regles | regles absentes | irregularite menstruelle | regles irregulieres | cycle irregulier | oligomenorrhee | spanioménorrhée | cycles trop longs";
"Pathologie / Motif";"lombalgie";"Lombalgie / Douleur lombaire";"lombalgie | lombalgies | lumbago | douleur lombaire | douleurs lombaires | mal de dos | mal au dos | douleur au dos | douleur bas du dos | douleur en bas du dos";
"Pathologie / Motif";"nausees";"Nausées / Vomissements";"nausee | nausees | vomissement | vomissements | sensation de nausee | envie de vomir";
"Pathologie / Motif";"nycturie";"Nycturie / Réveils nocturnes pour uriner";"nycturie | nycturiés | se lever la nuit pour uriner | lever la nuit | mictions nocturnes | reveils pour uriner | envie d uriner la nuit";
"Pathologie / Motif";"oedeme";"Œdème / Rétention d\";"oedeme | oedemes | retention d eau | retention hydrique | gonflement des membres | jambes lourdes | jambes gonflees | infiltration hydrique | prise de poids oedeme | chevilles gonflees";
"Pathologie / Motif";"pharyngite";"Pharyngite / Amygdalite chronique";"pharyngite | amygdalite | gorge irritee | gorge douloureuse | mal de gorge chronique | angine a repetition | noeud dans la gorge | sensation de boule gorge";
"Pathologie / Motif";"reflux";"Reflux / RGO / Brûlures d\";"reflux | rgo | pyrosis | brulure estomac | brulures estomac | remontees acides | acidite gastrique | gastrite";
"Pathologie / Motif";"sciatique";"Sciatique / Névralgie sciatique";"sciatique | sciatalgie | nevralgique sciatique | irradiation sciatique | douleur irradiante jambe | douleur irradiation fessiere | crural";
"Pathologie / Motif";"sinusite";"Sinusite / Rhinite / Rhume";"sinusite | sinusites | rhinite | rhinites | congestion nasale | nez bouche | rhume chronique | rhino sinusite | ecoulement nasal | mouchage frequent";
"Pathologie / Motif";"spm";"Syndrome prémenstruel (SPM)";"spm | syndrome premenstruel | premenstruel | syndrome pre menstruel | tension premenstruelle";
"Pathologie / Motif";"sueurs_nocturnes";"Sueurs nocturnes";"sueur nocturne | sueurs nocturnes | transpiration nocturne | transpire la nuit | mouille de sueur la nuit | sueurs pendant le sommeil";
"Pathologie / Motif";"surpoids";"Surpoids / Obésité";"surpoids | obesite | prise de poids | embonpoint | difficulte a maigrir | poids excessif | kilos en trop";
"Pathologie / Motif";"syndrome_sec";"Syndrome sec / Sécheresse généralisée (Sjögren)";"syndrome sec | secheresse generalisee | sjogren | yeux secs | bouche seche | secheresse buccale | secheresse des muqueuses | manque de secretions";
"Pathologie / Motif";"tendinite";"Tendinite / Tendinopathie";"tendinite | tendinites | tendinopathie | tendinopathies | tendinose | epicondylite | epicondylites | epicondyle | epitrochleite | rotulien | tendon | periarthrite | coiffe des rotateurs";
"Pathologie / Motif";"trouble_sexuel";"Trouble sexuel / Dysfonction";"impuissance | dysfonction erectile | trouble erectil | frigidite | baisse de libido | libido faible | dysfonction sexuelle | trouble de la sexualite | perte de libido | ejaculation precoce";
"Pathologie / Motif";"varices";"Varices / Insuffisance veineuse";"varices | varice | insuffisance veineuse | phlebite | thrombose veineuse | jambes varices | telangiectasies";
"Pathologie / Motif";"vertiges";"Vertiges / Étourdissements";"vertige | vertiges | etourdissement | etourdissements | sensation de vertige | instabilite | troubles de l equilibre";
"Pathologie / Motif";"zona";"Zona / Herpès";"zona | herpes zoster | herpes | nevralgie post zoosterienne | sequelles de zona | douleurs post zona | post zona";
